OID_,pointid,grid_code,dCSI,NDVIre1n,NDVIre2n,NDVIre3n,CSI,BSI,NBR,NBR2,Elevation,Aspect,Slope,NDVI_NDBI,dCSI_cat
2089,2215,0.1020045,0.2209009,0.1380499,0.0752729,0.0227728,1.432874,-0.0065635,0.1475196,0.1574194,23.5220509,175.42836,2.344547,0.1121396,3
2090,2216,0.1540909,0.2860025,0.1789474,0.0701319,0.0209663,1.5233949,-0.0065635,0.1405191,0.1662509,23.2357903,175.1630249,2.4813857,0.1804382,3
2091,2217,0.1911656,0.2860025,0.1789474,0.0701319,0.0209663,1.5233949,-0.0065635,0.1405191,0.1662509,23.3738575,183.7405701,2.4452343,0.2175129,3
2092,2218,0.2117735,0.2512735,0.1800749,0.0838057,0.0294174,1.5747058,-0.0142829,0.1491491,0.1682975,23.5107327,192.284729,2.4088025,0.2314148,3
2093,2219,0.1635112,0.2512735,0.1800749,0.0838057,0.0294174,1.5747058,-0.0142829,0.1491491,0.1682975,23.665163,192.0930176,2.4117985,0.1831525,3
2094,2220,0.2309339,0.0055851,0.16362,0.0816027,0.0328526,1.3950217,-0.0142829,0.125,0.1442464,23.8809185,163.5618134,2.5440331,0.2505337,1
2095,2221,0.1358389,0.0055851,0.16362,0.0816027,0.0328526,1.3950217,0.0143233,0.125,0.1442464,24.097868,135.0422058,2.6763694,0.1554387,1
2096,2222,0.1061511,-0.1162009,0.1285997,0.0706986,0.0309237,1.2497566,0.0143233,0.0653015,0.1268863,23.8916931,112.8498993,3.2018945,0.1682505,1
2097,2223,0.0756221,-0.1162009,0.1285997,0.0706986,0.0309237,1.2497566,0.0143233,0.0653015,0.1268863,22.9006443,102.317131,4.4530272,0.1377215,1
2098,2224,0.1139129,0.0843363,0.1539912,0.0722211,0.0295327,1.3832245,0.0090134,0.0978704,0.1431031,21.9060173,91.7896347,5.7046709,0.1597881,1
2099,2225,0.0925047,0.0543765,0.1253494,0.053967,0.0013392,1.4595649,0.0062946,0.1245117,0.1629318,17.8356304,18.8225536,2.3583694,0.1317204,1
2100,2226,0.0809199,0.148085,0.1385616,0.0706916,0.0370096,1.5395604,0.0062946,0.1842223,0.163026,17.8085556,16.5983677,2.5547886,0.0590673,2
2101,2227,0.0897092,0.148085,0.1385616,0.0706916,0.0370096,1.5395604,0.0062946,0.1842223,0.163026,17.8068237,16.0250912,2.785718,0.0678566,2
2102,2228,0.1288453,0.2153077,0.1798051,0.0679495,0.0138915,1.4974705,-0.006346,0.1155854,0.1612447,17.8033142,17.9268932,3.0113809,0.1753718,3
2103,2229,0.1866737,0.2153077,0.1798051,0.0679495,0.0138915,1.4974705,-0.006346,0.1155854,0.1612447,17.7333717,112.4260483,3.0482969,0.2332002,3
2104,2230,0.1386139,0.2875376,0.1775411,0.0884103,0.0401882,1.5726141,-0.006346,0.1889423,0.1697835,17.6622314,206.4358673,3.0859373,0.1188201,3
2105,2231,0.1388441,0.2875376,0.1775411,0.0884103,0.0401882,1.5726141,0.0030929,0.1889423,0.1697835,17.6493454,288.074707,3.1308746,0.1190503,3
2106,2232,0.1297491,0.1644738,0.1269035,0.06198,0.0145043,1.4605263,0.0030929,0.1299154,0.1543299,17.9926891,298.4390869,3.2170758,0.1546632,2
2107,2233,0.0804379,0.1644738,0.1269035,0.06198,0.0145043,1.4605263,0.0030929,0.1299154,0.1543299,18.3360329,309.2019348,3.3059361,0.105352,2
2108,2234,0.1011021,0.1772472,0.1433114,0.0726614,0.0353764,1.5053828,0.0012662,0.1519148,0.1581067,18.7163086,316.3551331,3.3168426,0.1074464,2
2109,2235,0.1323859,0.1772472,0.1433114,0.0726614,0.0353764,1.5053828,0.0012662,0.1519148,0.1581067,19.2035522,312.2145691,3.0986235,0.1387302,2
2110,2236,0.1535471,0.2158275,0.1483318,0.0643544,0.0224809,1.4479818,0.0012662,0.1165244,0.1541236,19.6931953,308.0796204,2.8805208,0.1918339,3
2111,2237,0.1304348,0.2158275,0.1483318,0.0643544,0.0224809,1.4479818,0.0101264,0.1165244,0.1541236,20.1029243,268.3491516,2.6290755,0.1687216,3
2112,2238,0.0972417,0.1333019,0.1388462,0.078521,0.0303632,1.3251659,0.0101264,0.095359,0.1379538,20.3759079,169.5459442,2.3215046,0.1404043,2
2113,2239,0.0784269,0.1333019,0.1388462,0.078521,0.0303632,1.3251659,0.0101264,0.095359,0.1379538,20.6476936,70.7934189,2.013047,0.1215895,2
2114,2240,0.1033648,0.1092957,0.1387283,0.0737946,0.031206,1.3283195,0.0129262,0.0888469,0.1402453,20.5767384,21.40555,1.9474072,0.1554117,1
2115,2241,0.122807,0.1092957,0.1387283,0.0737946,0.031206,1.3283195,0.0129262,0.0888469,0.1402453,20.1525192,22.848156,2.1325483,0.1748539,1
2116,2242,0.0876264,0.142778,0.1215361,0.0717264,0.0245166,1.3854448,0.0129262,0.1034316,0.14791,19.7271023,24.2701073,2.3174133,0.1327958,2
2117,2243,0.0766329,0.142778,0.1215361,0.0717264,0.0245166,1.3854448,0.0043436,0.1034316,0.14791,19.6049461,88.7361832,2.385026,0.1218023,2
2118,2244,0.0844127,0.2638094,0.1266596,0.066002,0.0235497,1.4776119,0.0043436,0.1550677,0.1513019,19.6790447,193.6701508,2.3778579,0.0805564,3
2119,2245,0.1318078,0.2638094,0.1266596,0.066002,0.0235497,1.4776119,0.0043436,0.1550677,0.1513019,19.7543411,298.5685425,2.3711822,0.1279515,3
2120,2246,0.089582,0.3607093,0.1595556,0.0789909,0.0306143,1.5764351,0.0038701,0.1620253,0.1641414,20.0255623,322.5447998,2.2434604,0.0917559,3
